index,open,high,close,min
1001399,1.16402,1.16485,1.16401,1.16474
1001459,1.16456,1.16456,1.16435,1.16442
1001519,1.16439,1.16442,1.16428,1.16439
1001579,1.1636,1.16366,1.1635,1.16365
1001639,1.16257,1.16276,1.16255,1.16268
1001699,1.16097,1.16122,1.16096,1.16106
1001759,1.15667,1.15689,1.15629,1.15643
1001819,1.15782,1.15813,1.15781,1.15813
1001879,1.15823,1.15844,1.15802,1.15802
1001939,1.15709,1.1571,1.15694,1.15696
1001999,1.15612,1.15621,1.15579,1.15583
1002059,1.15614,1.15623,1.15609,1.1562
1002119,1.15647,1.15661,1.15641,1.15655
1002179,1.15578,1.15593,1.15568,1.15589
1002239,1.15463,1.1547,1.15463,1.1547
1002298,1.1551,1.1551,1.15475,1.1551
1002358,1.15549,1.15552,1.15541,1.15546
1002418,1.15605,1.15605,1.15582,1.15583
1002478,1.1564,1.1564,1.15618,1.15625
1002538,1.15498,1.15511,1.15494,1.1551
1002598,1.15504,1.15507,1.15482,1.15483
1002658,1.1544,1.1544,1.1542,1.15429
1002718,1.15471,1.15472,1.15463,1.15463
1002778,1.15514,1.15516,1.15496,1.15496
1002838,1.15328,1.15375,1.15328,1.1535
1002898,1.15661,1.15696,1.1566,1.15687
1002958,1.15709,1.1571,1.15682,1.15695
1003018,1.15766,1.15766,1.15749,1.15756
1003078,1.15765,1.15767,1.15751,1.15755
1003138,1.15715,1.1572,1.15706,1.15707
1003198,1.1603,1.16154,1.16008,1.16125
1003258,1.15995,1.15995,1.15972,1.15991
1003318,1.16051,1.16055,1.16013,1.16033
1003378,1.16036,1.16037,1.16021,1.16027
1003438,1.16012,1.16033,1.16011,1.1603
1003498,1.15969,1.1597,1.15948,1.15949
1003558,1.15971,1.15978,1.15964,1.15974
1003618,1.15964,1.15964,1.15958,1.15959
1003678,1.15905,1.1591,1.15905,1.1591
1003738,1.15957,1.1596,1.15956,1.15959
1003797,1.15943,1.15944,1.15937,1.15939
1003856,1.15932,1.15934,1.15914,1.15922
1003916,1.1589,1.15896,1.15887,1.15887
1003976,1.15863,1.15863,1.15848,1.15856
1004035,1.15888,1.15903,1.15887,1.15903
1004095,1.1598,1.15984,1.1598,1.15981
1004155,1.16007,1.16009,1.16005,1.16005
1004215,1.16123,1.16123,1.16083,1.16084
1004275,1.16254,1.16265,1.16237,1.16258
1004335,1.163,1.16319,1.16299,1.16311
1004395,1.16146,1.16171,1.16142,1.1616
1004455,1.15956,1.15967,1.15952,1.15955
1004515,1.15845,1.15846,1.15831,1.15831
1004575,1.1581,1.15826,1.15797,1.15805
1004635,1.1578,1.158,1.15775,1.1578
1004695,1.15797,1.15813,1.15789,1.15809
1004755,1.15836,1.15861,1.15832,1.15832
1004815,1.15906,1.15907,1.15888,1.1589
1004875,1.15879,1.15881,1.15871,1.15872
1004935,1.15905,1.15933,1.15905,1.15915
1004995,1.15852,1.15852,1.15846,1.15849
1005055,1.15912,1.15913,1.159,1.15906
1005115,1.16038,1.16038,1.16035,1.16035
1005175,1.15996,1.16018,1.15996,1.16004
1005232,1.16019,1.16026,1.16015,1.16015
1005292,1.15953,1.15954,1.15949,1.15954
1005352,1.15974,1.15977,1.15968,1.1597
1005412,1.15905,1.15913,1.15905,1.15907
1005472,1.15895,1.15909,1.15895,1.15909
1005531,1.15858,1.15858,1.15855,1.15855
1005591,1.15868,1.15903,1.15865,1.15898
1005651,1.15833,1.15859,1.1583,1.15854
1005711,1.15712,1.15747,1.15704,1.15739
1005771,1.15966,1.15995,1.15964,1.15985
1005831,1.15901,1.15904,1.15859,1.1586
1005891,1.15945,1.15945,1.15925,1.15929
1005951,1.15805,1.15805,1.1579,1.15804
